Gen;Frecuencia;Clase;Antibiotico;Organismo
rrnS;88,75;Aminoglycoside;Streptomycin;Chlamydomonas reinhardtii
acrB;80,63;Tetracycline, Penam, Rifamycin, Glycylcycline, Cephalosporin, Phenicol, Triclosan, Fluoroquinolone;Multidrug;Escherichia coli str. K-12 substr. MG1655
SdeY;76,88;Multidrug;Multidrug;Serratia marcescens
mtrA;76,25;Macrolide, Penam;Multidrug;Mycobacterium tuberculosis H37Rv
MexB;75;Peptide, Penam, Diaminopyrimidine, Sulfonamide, Fluoroquinolone, Monobactam, Phenicol, Carbapenem, Macrolide, Tetracycline, Aminocoumarin, Cephalosporin, Cephamycin, Penem;Multidrug;Pseudomonas aeruginosa
acrF;72,5;Fluoroquinolone, Penam, Cephalosporin, Cephamycin;Multidrug;Escherichia coli str. K-12 substr. MG1655
smeE;71,25;Fluoroquinolone, Macrolide, Tetracycline, Phenicol;Multidrug;Stenotrophomonas maltophilia
adeF;71,25;Tetracycline, Fluoroquinolone;Multidrug;Acinetobacter baumannii AYE
MexF;70;Diaminopyrimidine, Phenicol, Fluoroquinolone;Multidrug;Pseudomonas aeruginosa PAO1
mexK;69,38;Macrolide, Tetracycline, Triclosan;Multidrug;Pseudomonas aeruginosa PAO1
acrD;68,13;Aminoglycoside;Multidrug;Escherichia coli str. K-12 substr. W3110
ttgb;66,88;Tetracycline;Tetracycline;Pseudomonas putida
ceoB;65;Aminoglycoside, Fluoroquinolone;Multidrug;Burkholderia cepacia
smeB;64,38;Cephalosporin, Cephamycin, Penam, Aminoglycoside;Multidrug;Stenotrophomonas maltophilia
mexW;62,5;Tetracycline, Acridine, Macrolide, Phenicol, Fluoroquinolone;;Pseudomonas aeruginosa PAO1
adeJ;62,5;Diaminopyrimidine, Rifamycin, Penem, Tetracycline, Phenicol, Carbapenem, Macrolide, Lincosamide, Fluoroquinolone, Cephalosporin;Multidrug;Acinetobacter baumannii
aadA;61,88;Aminoglycoside;Streptomycin;Escherichia coli
aadA24;61,88;Aminoglycoside;Streptomycin, Spectinomycin;Salmonella enterica subsp. enterica serovar Newport
sul2;58,13;Sulfonamide;Sulfonamide;Vibrio cholerae
mdtF;58,13;Fluoroquinolone, Macrolide, Penam;Multidrug;Escherichia coli str. K-12 substr. MG1655
APH(6)-Id;56,25;Aminoglycoside;Streptomycin;Pseudomonas aeruginosa
aadA2;56,25;Aminoglycoside;Streptomycin, Spectinomycin;Klebsiella pneumoniae
pncA;55,63;Pyrazinamide;Pyrazinamide;Mycobacterium tuberculosis H37Rv
aadA3;55,63;Aminoglycoside;Streptomycin;Plasmid NR79
